name ,width,height,thickness,bolt_hole_size,bolt_size,net_sect_bolts_h,net_sect_bolts_v,diag_1_bolts,diag_2_bolts,diag_net_sect_bolts_whit,diag_width_bs,diag_net_sect_bolts_bs,diag_length_bs,t_diag,diag_w_whit,diag_L_mid,vert_bolts,vert_net_sect_bolts_whit,vert_width_bs,vert_net_sect_bolts_bs,vert_length_bs,t_vert,vert_w_whit,vert_L_mid
ST_Top_G0,1365.25,1473.2,12.7,26.9875,25.4,12,13,34,34,4,279.4,3,800.1,12.7,1027,368,36,4,279.4,3,711.2,9.525,807,160
ST_Top_G1 (G40.8),,,9.525,26.9875,25.4,,,,,,,,,,,,10,2,152.4,1,393.7,9.525,500,156
ST_Top_G2,2159,1416.05,12.7,26.9875,25.4,20,12,30,26,5,228.6,3,774.7,12.7,996,288,16,2,152.4,1,723.9,9.525,944.3,139.7
ST_Bot_G0,,,23.8125,26.9875,25.4,,,,,,,,,,,,36,4,457.2,3,1447.8,9.525,812.8,207.9625
ST_Bot_G1,2159,1473.2,12.7,26.9875,25.4,22,15,34,34,8,279.4,3,800.1,12.7,1098.55,336.55,18,4,127,1,749.3,9.525,949.96,146.05
ST_Bot_G2 (G40.8),,,12.7,26.9875,25.4,,,,,,,,,,,,10,2,127,1,393.7,9.525,385.51,133
TTA_L0,828.675,1519.2375,15.875,23.8125,22.225,8,12,24,24,2,241.3,1,698.5,13.1064,649.98,317.9,,,,,,,,
TTA_U1,1292.225,996.95,9.525,23.8125,22.225,11,4,24,16,3,127,1,571.5,13.1064,736.6,187,,,,,,,,
TTA_L2,1028.7,1216.025,9.525,23.8125,22.225,9,9,10,10,2,127,1,342.9,13.1064,478.9527241,389,12,2,127,1,577.85,9.525,750.25,143.55
TTA_U2,,,9.525,23.8125,22.225,,,,,,,,,,,,12,2,127,1,419.1,14.6304,491,139.14
TTA_U3,828.675,1117.6,9.525,23.8125,22.225,12,3,10,10,2,127,1,342.9,13.1064,478.9527241,258.2,4,2,142.875,1,114.3,9.525,230.86,451
BB_M_G1 (G40.8),2057.4,1060.45,9.525,23.8125,22.225,18,10,18,18,3,241.3,3,342.9,11.0744,472.45,416.5,10,2,127,1,342.9,9.525,478.8,101.3
BB_M_G2 (G40.8),1978.025,704.85,9.525,23.8125,22.225,18,7,10,10,2,127,1,342.9,11.0744,478.8,345.33,,,,,,,,
BB_M_G4 (G40.8),1371.6,742.95,12.7,23.8125,22.225,14,2,16,16,4,241.3,3,304.8,11.0744,440.7,242.09375,,,,,,,,
BB_Q_G1.5 (G40.8),495.3,,9.525,23.8125,22.225,4,,10,10,3,127,1,304.8,11.0744,341,153.5,,,,,,,,
BB_Q_G3 (G40.8),,,12.7,,,,,,,,,,,,,,16,3,304.8,3,342.9,11.0744,304.8,179
BB_E_G1 (G40.8),735,714.375,12.7,23.8125,22.225,9,7,14,14,4,241.3,3,228.6,11.0744,352.7,359.5,,,,,,,,
BB_E_G2,828.675,735.0125,14.2875,23.8125,22.225,14,10,18,16,4,241.3,3,304.8,11.0744,440.7,453,,,,,,,,
TB_M_G0,2067.71875,1114.3996,11.1125,23.8125,22.225,20,4,22,22,3,317.5,3,566,15.3924,540,206,,,,,,,,
TB_M_G4,2068.5125,1695.45,11.1125,23.8125,22.225,20,4,22,22,3,317.5,3,566,15.3924,540,206,,,,,,,,
TB_Q_G1,,,17.4625,26.9875,25.4,,,,,,,,,,,,23,3,317.5,3,400.05,15.3924,406.4,233
TB_E_G2,1955.8,1238.25,14.2875,26.9875,25.4,18,10,22,22,5,317.5,3,444.5,15.3924,645.7,285,,,,,,,,
